"latitude","longitude","name","country","refcode"
"-38.0620","-67.9463","CENTRAL PARQUE INDUSTRIAL LA BANDA","AR","ARG0000319"
"-34.9027","-58.7334","CENTRAL T.GENELBA","AR","ARG0000165"
"-34.9027","-58.7334","CENTRAL T.GENELBA PLUS","AR","ARG0000166"
"-31.7112","-60.7811","CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA)","AR","ARG0000311"
"-24.7456","-65.0513","CENTRAL TERMICA DE CICLO COMBINADO SALTA","AR","ARG0000274"
"-24.6894","-65.0425","CENTRAL TERMICA GÜEMES SA","AR","ARG0000287"
"-27.7528","-64.2655","CENTRAL TERMICA LA BANDA","AR","ARG0000330"
"-22.3497","-63.7664","CENTRAL TERMICA PIQUIRENDA SA","AR","ARG0000284"
"-34.7208","-58.3881","CENTRAL TERMICA REMEDIOS DE ESCALADA","AR","ARG0000155"
"-34.6268","-58.5438","CENTRAL TERMOELECTRICA GUILLERMO BROWN","AR","ARG0000042"
"-24.6894","-65.0425","CENTRAL TERMOELECTRICA MANUEL BELGRANO","AR","ARG0000043"
"-32.5778","-60.7910","CENTRAL TERMOELECTRICA TIMBUES","AR","ARG0000307"
"-31.5192","-68.9814","CH LOS CARACOLES","AR","ARG0000296"
"-29.1578","-67.5069","CHILECITO","AR","ARG0000185"
"-31.9881","-68.5402","CHIMBERA 1","AR","ARG0000295"
"-38.9121","-67.9427","CIPOLLETTI","AR","ARG0000267"
"-25.6669","-54.0419","COMANDANTE ANDRESITO","AR","ARG0000221"
"-25.9913","-54.6278","COMODORO RIVADAVIA","AR","ARG0000072"
"-45.8467","-67.4964","COMODORO RIVADAVIA - ANTONIO MORAN","AR","ARG0000067"
"-27.4708","-58.8042","CORRIENTES","AR","ARG0000117"
"-34.6260","-58.3393","COSTANERA","AR","ARG0000046"
"-33.0349","-68.7971","CRUZ DE PIEDRA","AR","ARG0000197"
"-30.7636","-64.7538","CRUZ DEL EJE","AR","ARG0000087"
